,lat,lon,elvt,Day sin,Day cos,Year sin,Year cos,smax,smin,tmax,tmin,dmax,dmin,hmax,hmin,Gx,Gy,prcp,stp,gbrd,temp,dewp,hmdy,Wx,Wy,target
1,-18.98888888,-56.62305554,91.0,0.5000000000039646,-0.8660254037821496,-0.09440281244188609,0.9955340822910395,1002.8,1002.2,24.1,23.3,22.7,22.2,94.0,91.0,2.074145515249789,-0.3285123765844853,0.0,1002.8,107.0,24.1,22.7,92.0,1.0864571746546514,-0.17207791154425423,3549.483173847846
2,-18.40972222,-49.19194444,488.0,-0.4999999999996383,-0.8660254037846474,-0.10336857611256807,-0.9946431206580882,962.2,961.9,23.8,21.6,12.9,11.7,56.0,49.0,-3.4749254443346356,-1.7705629489842303,0.0,961.9,2027.0,23.8,12.6,49.0,-0.8019058717695313,-0.40859144976559164,5584.878310524591
3,-16.96694443,-51.81749999,740.1,0.707106781178406,0.7071067811946891,-0.9986074448486639,0.05275576833695752,928.7,928.3,26.1,24.7,7.4,4.4,34.0,25.0,-1.202081528017131,-1.2020815280171306,0.0,928.3,1549.6164658769599,24.9,5.0,28.0,-0.49497474683058335,-0.4949747468305832,5182.806270793125
4,-21.47833332,-56.13694444,249.0,0.7071067811784558,0.7071067811946392,0.14827674296215154,-0.988945907265173,955.4928255480119,954.8985947847194,24.913867082371514,23.495292288117625,17.749739031977505,16.62192789592909,72.16093081146795,65.99055420427858,-4.2503424510589385,0.7354199559268639,0.15857694008505133,955.2344215023717,1549.6164658769599,24.19279016924677,17.17139968745509,69.09971393312566,-1.6738642584211414,0.2896221171188069,4913.856201757753
5,-16.45,-54.56666666,284.0,-0.9659258262895356,0.2588190451007766,-0.5253136003103243,0.8509087032866716,974.5,973.6,31.7,30.3,21.2,19.7,57.0,51.0,5.936336673094978,-3.7094348496324407,0.0,973.6,2241.0,30.4,20.9,57.0,2.968168336547489,-1.8547174248162204,5697.842174396981
6,-18.96666666,-50.61666666,488.51,0.25881904510658976,-0.965925826287978,-0.2872941640750648,0.9578424000264395,955.5,954.4,24.7,22.0,22.2,21.2,95.0,84.0,-0.30354854620907695,-5.792051301576528,0.0,955.5,1144.0,24.6,22.0,85.0,-0.2041102293474828,-3.8946551855428377,4818.795742872094
7,-9.56388888,-57.3936111,220.0,-0.7071067811863347,0.7071067811867604,-0.8217858762293623,-0.5697964317455307,987.3,986.7,35.2,33.8,11.7,10.5,26.0,23.0,-1.793795594911447,3.236092916415765,0.0,987.3,731.0,33.8,11.4,26.0,-0.0,0.0,4056.79321503353
8,-16.39944444,-47.62583332,932.0,0.9659258262923788,-0.2588190450901657,-0.9917385385965422,0.12827576178840244,908.7,907.9,20.0,19.8,18.7,18.4,93.0,90.0,-0.09947871669251594,-5.699131862391431,0.0,908.7,1549.6164658769599,19.9,18.4,91.0,-0.05933818188676389,-3.3994821635317303,5522.677401196851
9,-14.65,-57.41666666,321.5,-0.7071067811790634,-0.7071067811940316,0.9284097036870822,-0.37155810057064326,964.7,964.4,28.3,26.8,22.3,21.2,76.0,68.0,-2.3964117540661194,3.690150498959866,0.15857694008505133,964.4,2225.0,27.6,21.9,71.0,-0.8169585525225407,1.258005851918136,5732.069334365116
10,-13.70805555,-59.7625,576.87,0.7071067811877476,-0.7071067811853474,0.946048331819024,-0.32402554507699216,945.1,945.0,20.5,20.2,19.4,19.1,94.0,93.0,-0.0,0.0,0.0,945.1,1549.6164658769599,20.2,19.1,93.0,-0.0,0.0,5287.337933113704
