epoch,auc,binary_accuracy,loss,val_auc,val_binary_accuracy,val_loss
0,0.4237547516822815,0.45857417583465576,0.7326131463050842,0.5362130403518677,0.6000000238418579,0.7100225687026978
1,0.596194326877594,0.5838150382041931,0.6946095824241638,0.6377515196800232,0.6307692527770996,0.6831793785095215
2,0.6526613235473633,0.6666666865348816,0.6728637218475342,0.6620118618011475,0.692307710647583,0.6679477691650391
3,0.6699763536453247,0.6897880434989929,0.6584790945053101,0.6700592041015625,0.7076923251152039,0.6555517315864563
4,0.6822795271873474,0.7013487219810486,0.6464358568191528,0.6790533065795898,0.7076923251152039,0.6446532011032104
5,0.6929511427879333,0.6994219422340393,0.6361837983131409,0.6930177211761475,0.7076923251152039,0.6347690224647522
6,0.7043595314025879,0.6994219422340393,0.62778240442276,0.7013017535209656,0.7076923251152039,0.6259669661521912
7,0.7196587324142456,0.6994219422340393,0.6191834211349487,0.7147929072380066,0.7076923251152039,0.6184936165809631
8,0.7332297563552856,0.6994219422340393,0.6118652820587158,0.7268639206886292,0.7076923251152039,0.6116393208503723
9,0.7471849918365479,0.7013487219810486,0.6047047972679138,0.7394082546234131,0.7076923251152039,0.6045563220977783
10,0.761843740940094,0.7013487219810486,0.5972347259521484,0.7590532302856445,0.7076923251152039,0.5976390838623047
11,0.7771355509757996,0.7013487219810486,0.5889607071876526,0.7718343138694763,0.7076923251152039,0.5899184346199036
12,0.7898990511894226,0.7013487219810486,0.5807409286499023,0.7919526100158691,0.7076923251152039,0.5813421607017517
13,0.8030282855033875,0.7032755017280579,0.5718283653259277,0.8097041249275208,0.7076923251152039,0.5707038044929504
14,0.8198273181915283,0.712909460067749,0.5613312125205994,0.8302958607673645,0.7076923251152039,0.5588006377220154
15,0.835354745388031,0.7225433588027954,0.5505632758140564,0.8456804752349854,0.7076923251152039,0.5461267232894897
16,0.8475948572158813,0.7283236980438232,0.5394487380981445,0.8575147986412048,0.7076923251152039,0.532343864440918
17,0.8574626445770264,0.7341040372848511,0.5271653532981873,0.8653254508972168,0.7076923251152039,0.5197083353996277
18,0.8676720857620239,0.7398843765258789,0.5150521993637085,0.8728994131088257,0.7230769395828247,0.5060116052627563
19,0.8793199062347412,0.7495182752609253,0.5019271373748779,0.8844970464706421,0.7846153974533081,0.49349892139434814
20,0.8875300884246826,0.7687861323356628,0.48891276121139526,0.8911242485046387,0.800000011920929,0.4809191823005676
21,0.8907989263534546,0.7668593525886536,0.4766483008861542,0.8932543992996216,0.7846153974533081,0.46877941489219666
22,0.8975667953491211,0.7764932513237,0.4634760916233063,0.9013017416000366,0.800000011920929,0.4567203223705292
23,0.9080972671508789,0.7938342690467834,0.45166194438934326,0.9166864156723022,0.8153846263885498,0.44522571563720703
24,0.9183956980705261,0.8169556856155396,0.440595805644989,0.923786997795105,0.8307692408561707,0.43360400199890137
25,0.9240034818649292,0.8304431438446045,0.4281124174594879,0.9271005988121033,0.8307692408561707,0.4221465289592743
26,0.9245009422302246,0.8227360248565674,0.41695019602775574,0.9252071380615234,0.8153846263885498,0.4119771718978882
27,0.93052077293396,0.8304431438446045,0.40617069602012634,0.9377515316009521,0.8461538553237915,0.4003041386604309
28,0.9360524415969849,0.834296703338623,0.3950226604938507,0.9384615421295166,0.8461538553237915,0.3909160792827606
29,0.9394196271896362,0.8400770425796509,0.3844638168811798,0.9452071189880371,0.8461538553237915,0.38022464513778687
30,0.9527437090873718,0.8805394768714905,0.3729037642478943,0.9633135795593262,0.9230769276618958,0.36979424953460693
31,0.9637085199356079,0.9017341136932373,0.3626021146774292,0.9689940810203552,0.9230769276618958,0.36068153381347656
32,0.9713952541351318,0.9171483516693115,0.35291168093681335,0.9734910726547241,0.9384615421295166,0.3505162298679352
33,0.9731920957565308,0.9229286909103394,0.3421221077442169,0.973727822303772,0.9384615421295166,0.3393079936504364
34,0.9721118211746216,0.9152215719223022,0.33141008019447327,0.9732544422149658,0.9384615421295166,0.32865843176841736
35,0.9719019532203674,0.9113680124282837,0.32189062237739563,0.9734911322593689,0.9384615421295166,0.3194769024848938
36,0.9761250615119934,0.9229286909103394,0.31219103932380676,0.9824851155281067,0.9384615421295166,0.3088785707950592
37,0.982410192489624,0.9402697682380676,0.3024957776069641,0.9849704504013062,0.9538461565971375,0.29907867312431335
38,0.9840010404586792,0.9460501074790955,0.2928026020526886,0.9848520159721375,0.9384615421295166,0.2904575765132904
39,0.9835703372955322,0.9383429884910583,0.2842892110347748,0.9836686253547668,0.9384615421295166,0.2828856408596039
40,0.9845894575119019,0.9421965479850769,0.275999516248703,0.9857988357543945,0.9538461565971375,0.27424365282058716
41,0.9879789352416992,0.9518304467201233,0.26731055974960327,0.989112377166748,0.9538461565971375,0.2650475800037384
42,0.9913758635520935,0.9614643454551697,0.2584080696105957,0.9924260377883911,0.9692307710647583,0.2566634714603424
43,0.9917248487472534,0.963391125202179,0.25040116906166077,0.9912425875663757,0.9692307710647583,0.2483329176902771
44,0.9920051693916321,0.9653179049491882,0.24207113683223724,0.9933727979660034,0.9692307710647583,0.24044176936149597
45,0.9945241212844849,0.9710982441902161,0.23484957218170166,0.9969230890274048,0.9846153855323792,0.23443663120269775
46,0.9955060482025146,0.9749518036842346,0.22653672099113464,0.9962130188941956,0.9846153855323792,0.2261323481798172
47,0.995246171951294,0.9710982441902161,0.21815113723278046,0.9964496493339539,0.9846153855323792,0.21933963894844055
48,0.995589554309845,0.9710982441902161,0.21080458164215088,0.9973964691162109,0.9846153855323792,0.21254579722881317
49,0.9965251684188843,0.9807322025299072,0.2037135809659958,0.9983432292938232,0.9846153855323792,0.20642291009426117
50,0.9975683093070984,0.9884393215179443,0.19763635098934174,0.999289870262146,0.9846153855323792,0.2002582848072052
51,0.9977576732635498,0.9884393215179443,0.1899738609790802,0.9988164901733398,0.9846153855323792,0.19267325103282928
